Institution Name,City,State,Fall 2013 Enrollment
Ithaca College,Ithaca,NY,6723
Rensselaer Polytechnic Institute,Troy,NY,6714
Fitchburg State University,Fitchburg,MA,6680
University of Wisconsin-Green Bay,Green Bay,WI,6668
Bethel University,McKenzie,TN,6634
Minnesota State University-Moorhead,Moorhead,MN,6634
Xavier University,Cincinnati,OH,6633
Rice University,Houston,TX,6628
Eastern Arizona College,Thatcher,AZ,6602
Kansas City Kansas Community College,Kansas City,KS,6570
University of New Haven,West Haven,CT,6555
Georgia College and State University,Milledgeville,GA,6551
Southern Polytechnic State University,Marietta,GA,6549
MCPHS University,Boston,MA,6548
Angelo State University,San Angelo,TX,6536
Nicholls State University,Thibodaux,LA,6532
Lewis University,Romeoville,IL,6525
University of Baltimore,Baltimore,MD,6518
Northwest Missouri State University,Maryville,MO,6485
Minnesota State Community and Technical College,Fergus Falls,MN,6464
Worcester State University,Worcester,MA,6447
Central Arizona College,Coolidge,AZ,6445
La Salle University,Philadelphia,PA,6436
Framingham State University,Framingham,MA,6429
University of the Pacific,Stockton,CA,6421
Indiana University-Northwest,Gary,IN,6387
Westfield State University,Westfield,MA,6371
Marist College,Poughkeepsie,NY,6365
Dartmouth College,Hanover,NH,6342
Western Iowa Tech Community College,Sioux City,IA,6331
Benedictine University,Lisle,IL,6318
Monmouth University,West Long Branch,NJ,6316
Indiana Institute of Technology,Fort Wayne,IN,6307
Elon University,Elon,NC,6305
Biola University,La Mirada,CA,6301
Worcester Polytechnic Institute,Worcester,MA,6296
University of Maryland-Baltimore,Baltimore,MD,6284
Franklin University,Columbus,OH,6274
Rutgers University-Camden,Camden,NJ,6264
Harding University,Searcy,AR,6238
Truman State University,Kirksville,MO,6225
University of North Carolina at Pembroke,Pembroke,NC,6222
Wayland Baptist University,Plainview,TX,6222
Darton State College,Albany,GA,6195
University of California-Merced,Merced,CA,6195
Fayetteville State University,Fayetteville,NC,6179
Western Oregon University,Monmouth,OR,6177
University of Wisconsin-River Falls,River Falls,WI,6160
Winthrop University,Rock Hill,SC,6130
Roosevelt University,Chicago,IL,6130
Hutchinson Community College,Hutchinson,KS,6127
University of Phoenix-San Diego Campus,San Diego,CA,6122
Campbell University,Buies Creek,NC,6122
Purdue University-North Central Campus,Westville,IN,6102
Clarion University of Pennsylvania,Clarion,PA,6080
Alabama State University,Montgomery,AL,6075
SUNY College at Plattsburgh,Plattsburgh,NY,6051
SUNY Oneonta,Oneonta,NY,6034
Emporia State University,Emporia,KS,6033
University of New England,Biddeford,ME,6032
North Idaho College,Coeur d'Alene,ID,6029
Western Connecticut State University,Danbury,CT,6025
Southern Oregon University,Ashland,OR,5992
Ashland University,Ashland,OH,5979
Loyola University Maryland,Baltimore,MD,5977
Holmes Community College,Goodman,MS,5911
Cameron University,Lawton,OK,5898
Colorado Mountain College,Glenwood Springs,CO,5893
Universidad del Sagrado Corazon,Santurce,PR,5892
Midwestern State University,Wichita Falls,TX,5870
Kilgore College,Kilgore,TX,5867
Ramapo College of New Jersey,Mahwah,NJ,5852
Eastern New Mexico University-Main Campus,Portales,NM,5847
Crowder College,Neosho,MO,5845
Brandeis University,Waltham,MA,5825
Inter American University of Puerto Rico-Ponce,Mercedita,PR,5821
Gadsden State Community College,Gadsden,AL,5797
Missouri Western State University,Saint Joseph,MO,5795
Colorado School of Mines,Golden,CO,5790
Stevens Institute of Technology,Hoboken,NJ,5784
Virginia State University,Petersburg,VA,5763
California State University-Monterey Bay,Seaside,CA,5732
Moberly Area Community College,Moberly,MO,5710
Chicago State University,Chicago,IL,5701
Iowa Central Community College,Fort Dodge,IA,5697
Weatherford College,Weatherford,TX,5694
Regent University,Virginia Beach,VA,5693
Itawamba Community College,Fulton,MS,5693
Pennsylvania College of Technology,Williamsport,PA,5678
Jackson College,Jackson,MI,5665
Bentley University,Waltham,MA,5658
Florida Institute of Technology,Melbourne,FL,5644
SUNY College at Geneseo,Geneseo,NY,5644
